label	p-value
ENSG00000075415.12	0.00011501842221344928
ENSG00000109475.16	0.00011610059416649361
ENSG00000196924.14	0.00011702741824862237
ENSG00000114391.12	0.00011801784422845791
ENSG00000152234.15	0.00011850633820675007
ENSG00000142864.14	0.00012416183055042246
ENSG00000115677.16	0.00012515956865944523
ENSG00000159140.19	0.00012590098972607068
ENSG00000106682.14	0.00012703788690656353
ENSG00000019582.14	0.00013286919740505775
ENSG00000107581.12	0.00013387751973290872
ENSG00000163682.15	0.0001347115935286232
ENSG00000182774.10	0.0001367291259000965
ENSG00000184007.18	0.0001373460833392154
ENSG00000115310.17	0.0001409538284583148
ENSG00000113712.17	0.00014254180074996212
ENSG00000165280.15	0.00014342561312717935
ENSG00000107372.12	0.00014446027370582776
ENSG00000170889.13	0.00014515805804325217
ENSG00000168028.13	0.0001456580790670063
ENSG00000132824.13	0.00014942189301790054
ENSG00000163041.9	0.00015529491546965223
ENSG00000079246.15	0.00015560386177501502
ENSG00000184110.14	0.0001586484221477277
ENSG00000113140.10	0.0001602102075144773
